Seed,Score,ExecTime,N,M,T,U,GridMean,GridStd,GridMax,GridMin,AvgGradient,MaxGradient,HighValueConcentration,MaxDistFromCenter,CenterEdgeRatio,CenterMean,EdgeMean,CornersMean,EnemyAvgDistance,EnemySpread,EnemyCentroidFromCenter,EnemyAvgValue,EnemyMinDistToHighValue
0000,139951,2217,10,4,100,3,1000.00,182.53,1347,688,229.80,591,5.74,3.00,0.97,979.58,1011.48,1095.25,4.67,1.53,2.00,1046.00,0.67
0001,94890,2211,10,4,100,4,1000.00,310.35,1628,534,368.32,1075,4.74,7.00,1.03,1021.72,987.78,903.25,5.67,1.26,2.50,1068.50,2.25
0002,165665,2169,10,4,100,1,1000.00,381.92,2032,424,349.84,1241,4.18,8.00,0.86,906.47,1052.61,1156.50,0.00,0.00,5.00,837.00,7.00
0003,112184,2181,10,6,100,4,1000.00,506.30,2005,267,157.82,445,1.62,4.00,1.46,1254.64,856.77,594.75,6.83,2.02,2.75,1011.00,3.25
0004,102601,2210,10,5,100,4,1000.00,301.16,2418,626,115.37,520,1.60,9.00,0.96,976.64,1013.14,1185.75,6.00,1.50,2.50,1138.50,3.00
0005,109808,2181,10,6,100,4,1000.00,240.62,2019,623,102.35,620,1.70,5.00,1.10,1061.11,965.62,885.00,4.67,1.63,2.00,894.25,5.00
0006,193507,2211,10,2,100,3,1000.00,218.51,1556,608,170.95,509,1.90,3.00,1.18,1109.11,938.62,772.75,11.00,0.00,0.50,1181.50,2.50
0007,218710,2182,10,3,100,1,1000.00,312.45,2050,518,135.27,562,1.67,4.00,1.10,1062.17,965.03,705.75,0.00,0.00,8.00,965.00,2.00
0008,343802,1870,10,4,100,1,1000.00,273.32,1983,508,237.71,713,2.08,3.00,1.25,1146.31,917.70,944.50,0.00,0.00,6.00,1092.00,5.00
0009,242801,1819,10,4,100,1,1000.00,466.43,2074,531,178.97,1384,2.63,4.00,1.08,1052.75,970.33,915.75,0.00,0.00,5.00,581.00,7.00
0010,365363,1874,10,2,100,2,1000.00,368.86,1882,634,111.35,651,1.60,3.00,1.41,1227.19,872.20,683.50,6.00,0.00,2.00,1303.00,2.00
0011,185883,1895,10,4,100,5,1000.00,279.87,2333,630,141.93,800,1.45,4.00,1.20,1120.22,932.38,858.25,8.50,2.69,2.25,974.75,5.00
0012,177824,1892,10,3,100,3,1000.00,48.90,1075,911,59.62,156,4.36,4.00,0.99,993.69,1003.55,974.00,8.00,2.78,3.67,1063.67,1.33
0013,110626,1867,10,6,100,3,1000.00,656.10,2708,279,215.47,712,1.60,4.00,1.19,1112.81,936.55,647.00,4.00,1.39,2.33,1810.33,1.00
0014,116461,1876,10,6,100,4,1000.00,215.02,1669,685,180.27,623,1.77,7.00,0.94,961.03,1021.92,993.00,7.67,1.08,2.00,868.50,6.00
0015,135444,1881,10,7,100,5,1000.00,285.77,1688,648,161.29,873,1.69,8.00,0.97,982.67,1009.75,787.75,6.60,1.82,1.00,1028.20,3.40
0016,105130,1843,10,5,100,3,1000.00,207.42,2008,749,78.02,431,1.88,6.00,1.03,1019.58,988.98,925.25,5.33,1.53,4.00,1010.00,4.33
0017,167229,1886,10,4,100,2,1000.00,513.75,2027,328,569.49,1643,4.58,8.00,0.91,940.67,1033.38,1257.00,8.00,0.00,2.00,1636.00,0.50
0018,160692,1874,10,2,100,4,1000.00,402.48,1845,421,457.50,1266,4.56,8.00,0.97,983.72,1009.16,1082.00,9.00,0.00,4.50,1510.50,1.50
0019,90329,1791,10,8,100,5,1000.00,280.71,1510,446,190.91,577,2.48,1.00,1.31,1178.69,899.48,702.00,6.80,1.75,1.20,1053.40,2.40
0020,326298,1843,10,2,100,1,1000.00,431.11,1949,325,123.49,345,1.55,4.00,1.28,1163.47,908.05,656.00,0.00,0.00,6.00,1461.00,1.00
0021,192752,1886,10,3,100,2,1000.00,250.75,1445,591,287.10,829,5.14,9.00,0.91,937.44,1035.19,1042.50,9.00,0.00,2.50,662.00,1.00
0022,148053,1878,10,3,100,3,1000.00,186.29,1766,692,81.94,316,1.67,5.00,1.05,1032.11,981.94,917.75,6.67,1.71,1.33,1123.67,2.33
0023,320315,1888,10,2,100,3,1000.00,348.46,1641,368,148.12,410,2.17,5.00,1.22,1131.11,926.25,782.75,6.00,0.00,2.00,1309.00,2.00
0024,127748,1881,10,5,100,2,1000.00,244.44,2142,652,138.15,698,1.88,6.00,1.02,1013.89,992.19,875.50,2.00,0.00,5.00,795.50,8.00
0025,267666,1846,10,4,100,1,1000.00,83.33,1121,846,101.31,274,4.38,5.00,1.00,1000.67,999.62,1058.25,0.00,0.00,9.00,1107.00,0.00
0026,252889,1835,10,6,100,1,1000.00,317.82,2211,634,141.93,622,1.55,1.00,1.60,1316.03,822.23,672.25,0.00,0.00,4.00,1253.00,2.00
0027,171559,1871,10,3,100,1,1000.00,155.53,1241,764,163.49,466,4.10,5.00,1.06,1038.11,978.56,948.50,0.00,0.00,7.00,1137.00,1.00
0028,272886,1898,10,4,100,3,1000.00,403.67,2392,491,142.00,488,1.69,7.00,1.02,1013.06,992.66,926.00,10.00,1.26,1.33,974.67,4.00
0029,90335,1854,10,7,100,3,1000.00,187.32,1320,649,208.16,610,5.24,6.00,0.98,988.19,1006.64,1092.25,4.00,1.35,3.00,959.00,3.67
0030,249824,1837,10,7,100,1,1000.00,372.91,2561,377,325.76,1085,3.19,7.00,0.96,971.44,1016.06,755.75,0.00,0.00,7.00,388.00,7.00
0031,273273,1891,10,4,100,2,1000.00,317.01,2218,479,151.80,575,1.82,7.00,1.01,1007.47,995.80,868.25,7.00,0.00,2.50,1207.00,3.00
0032,122729,1889,10,5,100,2,1000.00,339.09,1798,487,133.03,475,1.93,7.00,1.07,1043.72,975.41,902.75,6.00,0.00,3.00,1282.00,2.00
0033,190932,1872,10,2,100,4,1000.00,447.15,1761,365,552.47,1340,4.86,5.00,0.94,961.03,1021.92,1215.75,5.00,0.00,1.50,1007.50,2.00
0034,280783,1862,10,2,100,4,1000.00,528.72,2029,298,640.72,1714,5.16,8.00,0.93,956.50,1024.47,577.75,2.00,0.00,7.00,857.00,2.00
0035,407336,1864,10,2,100,2,1000.00,230.98,1906,657,117.12,529,1.75,7.00,0.94,963.78,1020.38,1044.50,4.00,0.00,5.00,1134.00,2.50
0036,268783,1862,10,4,100,1,1000.00,196.50,1475,714,75.08,468,1.60,2.00,1.23,1134.31,924.45,833.25,0.00,0.00,3.00,1215.00,1.00
0037,263875,1832,10,7,100,1,1000.00,123.17,1492,779,64.59,219,1.57,4.00,1.11,1065.58,963.11,870.75,0.00,0.00,5.00,1104.00,1.00
0038,240219,1882,10,4,100,1,1000.00,464.15,1859,310,540.78,1472,4.91,7.00,1.09,1054.53,969.33,1026.50,0.00,0.00,4.00,1418.00,2.00
0039,180936,1838,10,2,100,1,1000.00,236.90,1872,580,169.59,614,3.92,9.00,0.97,979.36,1011.61,1248.25,0.00,0.00,7.00,1437.00,0.00
0040,98957,1871,10,6,100,3,1000.00,495.39,1951,298,572.67,1650,4.98,4.00,0.90,931.75,1038.39,1538.75,6.00,1.71,2.33,981.00,2.67
0041,374016,1864,10,2,100,2,1000.00,257.02,2005,628,141.02,581,1.92,8.00,0.93,951.53,1027.27,1057.75,13.00,0.00,1.50,971.50,3.50
0042,172603,1879,10,5,100,4,1000.00,249.15,2442,702,112.16,852,1.50,2.00,1.31,1180.50,898.47,794.75,4.83,1.84,2.25,1260.75,1.00
0043,157064,1840,10,4,100,4,1000.00,317.19,1728,530,308.65,1129,4.76,3.00,0.94,961.22,1021.81,1037.00,5.00,1.47,2.50,928.50,1.75
0044,132446,1876,10,5,100,3,1000.00,16.94,1027,963,18.46,61,5.15,4.00,1.00,999.00,1000.56,999.75,4.67,0.33,1.33,988.33,1.33
0045,218944,1854,10,5,100,1,1000.00,667.91,4076,282,464.86,1573,4.13,7.00,0.70,784.06,1121.47,1143.25,0.00,0.00,7.00,381.00,5.00
0046,153353,1850,10,3,100,1,1000.00,219.11,1768,615,156.70,639,3.27,4.00,1.18,1108.92,938.73,796.00,0.00,0.00,5.00,912.00,4.00
0047,150426,1873,10,6,100,2,1000.00,305.28,2049,495,235.56,803,1.64,5.00,1.05,1033.44,981.19,814.75,7.00,0.00,2.50,919.50,5.50
0048,135752,1844,10,8,100,4,1000.00,276.18,1841,505,159.63,1088,3.85,4.00,1.20,1118.50,933.34,668.75,6.17,1.03,3.25,1074.00,2.00
0049,119159,1841,10,3,100,2,1000.00,246.05,1729,524,155.68,561,1.64,5.00,1.12,1071.11,960.00,836.50,1.00,0.00,5.50,902.00,3.50
0050,179103,1871,10,3,100,4,1000.00,344.76,1615,464,388.87,1100,4.76,5.00,0.97,982.53,1009.83,1149.75,8.00,2.78,1.33,956.00,2.33
0051,201304,1896,10,4,100,2,1000.00,238.66,1919,615,125.20,473,1.75,3.00,1.26,1151.86,914.58,816.00,4.00,0.00,3.00,918.50,4.00
0052,112356,1849,10,6,100,5,1000.00,446.22,1858,363,262.55,1481,3.47,2.00,1.16,1096.17,945.91,910.50,6.80,2.81,3.00,1211.00,1.60
0053,163173,1886,10,3,100,4,1000.00,213.24,1807,705,76.48,301,1.55,4.00,1.08,1050.03,971.86,857.50,6.67,1.26,3.67,1128.33,2.33
0054,322775,1827,10,8,100,1,1000.00,292.27,2466,588,178.46,855,1.80,5.00,0.98,984.53,1008.70,885.00,0.00,0.00,5.00,970.00,5.00
0055,177644,1884,10,6,100,2,1000.00,277.09,1881,562,171.67,564,2.10,5.00,1.29,1170.44,904.12,696.50,7.00,0.00,2.50,1104.00,3.50
0056,114217,1867,10,5,100,4,1000.00,126.83,1373,882,79.43,429,1.62,3.00,1.14,1083.06,953.28,954.25,6.00,2.22,2.00,1033.25,2.25
0057,255436,1886,10,6,100,2,1000.00,313.76,1610,525,400.04,1019,3.75,5.00,0.94,958.00,1023.62,1180.25,9.00,0.00,4.50,1257.50,3.00
